iter	Passed	Remaining
0	0	57
1	1	52
2	1	48
3	1	44
4	2	43
5	2	42
6	3	45
7	4	48
8	5	51
9	5	50
10	6	49
11	6	48
12	7	47
13	7	46
14	8	45
15	8	45
16	9	43
17	9	42
18	9	42
19	10	41
20	10	40
21	11	40
22	11	39
23	12	39
24	12	38
25	13	37
26	13	36
27	14	36
28	14	35
29	14	34
30	15	34
31	15	33
32	16	33
33	16	32
34	17	31
35	17	31
36	18	30
37	18	30
38	19	29
39	19	29
40	20	29
41	20	28
42	20	27
43	21	27
44	21	26
45	22	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	28	26
52	29	25
53	29	25
54	30	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	20
61	33	20
62	33	19
63	33	19
64	34	18
65	35	18
66	35	17
67	35	16
68	36	16
69	37	15
70	37	15
71	38	14
72	38	14
73	38	13
74	39	13
75	40	12
76	40	12
77	40	11
78	41	10
79	41	10
80	42	9
81	42	9
82	43	8
83	43	8
84	43	7
85	44	7
86	44	6
87	45	6
88	45	5
89	46	5
90	46	4
91	47	4
92	47	3
93	48	3
94	48	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
